Tempmodel,Sunmodel,windspeedmodel,rainmodel,countsmodel,Windheadingmodel
13.77122311,218.297874,4.570705778,0,0,310.2398678
15.61344589,284.8723394,10.50896157,0,0,272.27781
13.29344544,280.85106,8.603454033,0,0,225.24675
12.80233428,270.6383,5.952125697,0,0,174.2577711
8.836778778,0,3.780227889,4.2,0,296.6191144
10.41677886,118.723404,3.100206697,0,0,158.8166816
11.69011206,132.765956,11.50938982,0,0,220.25965
11.569001,250.212768,7.107379233,0.4,13950,105.759844
11.70122306,38.297876,10.9354305,0.1,99900,28.8444994
12.53788972,234.893614,6.154160767,1.2,39825,158.2372408
11.21122344,106.595747,7.938277197,0.4,0,225.8846984
14.25455622,391.914898,5.150302889,0,142200,27.42269144
13.90233417,457.659569,6.212381744,0,285075,268.3743144
10.92011211,0,6.5102841,0.4,62325,254.14948
14.44900078,533.61702,7.110716233,0,0,34.42053122
13.52789,53.61702,13.46984722,0,57825,227.5835022
13.00122306,81.4468068,4.920362933,0.5,132975,141.3212831
14.185668,503.297866,6.377736544,0,116325,108.5656853
14.54455667,495.31914,9.946964456,0,139950,234.4074011
14.80677889,332.361695,13.44146828,0,409050,241.3771546
14.6656675,310.404258,9.071001056,0,132750,137.1875397
16.06455722,529.978729,8.334038711,0,85950,31.61067556
10.54233439,254.680847,8.510575878,0.9,0,37.66086456
10.67233422,169.148932,8.144109389,0.1,16650,233.7958889
10.26455658,171.06383,16.61102644,0,0,214.3933233
13.57789017,518.93617,9.062837256,0,52650,33.86583844
11.75566778,469.851076,19.03020844,0,3375,24.70768756
10.59233447,213.19149,8.595308022,0,5625,148.6358912
9.694556378,391.787236,7.420513756,0.2,27675,165.5811819
-1.469887837,95.106383,47.95399811,0.1,0,18.91741944
-0.090998933,175.021276,34.52483511,0,0,23.22275467
7.344556689,229.787236,25.25816722,0.3,0,27.13318222
11.45566767,540,11.31288019,0,207900,221.9044067
10.97122328,517.021275,14.95751978,0,0,221.1562622
10.22122328,495.57446,20.51781989,0,48375,238.7642744
1.339001066,38.297874,32.77935922,0.5,0,313.5199877
2.130112127,0,7.779887811,0.1,0,39.56850333
4.833445533,108.510643,19.79852356,2.4,0,182.9012289
4.816778856,194.042558,36.754084,2.9,0,186.9172544
6.553445478,0,25.47878611,2,0,209.9251322
9.442334367,38.93617,24.91432378,0,85275,207.41062
10.02233467,229.148934,22.29426833,0.4,155025,212.8816022
7.366778956,0,34.15939122,34.1,0,177.3644622
1.130112188,0,8.387471344,3.4,0,141.567598
6.304556589,123.829782,4.715872089,0,0,80.22943111
7.853445311,169.787235,5.558936716,0,0,203.0871167
5.245667644,0,13.91897267,9.6,0,29.990026
7.496778822,0,9.210278256,5.3,0,44.62174111
8.140112233,168.510636,4.4473369,0.4,0,67.88999011
9.005667489,460.212765,8.115282622,0,0,36.53359089
9.449000778,226.595743,8.922044667,0,0,57.46069178
16.15455744,524.680852,5.035382056,0,0,28.41665489
14.31789022,301.9148964,7.856518211,0,0,21.40085689
1.203445524,0,27.22326556,2.6,0,28.79261089
2.191223257,237.44681,16.87549456,0.2,0,32.889143
2.562334389,317.999992,16.545057,0,2025,33.41097156
7.393445411,238.723404,8.477199522,0.4,2250,21.36980866
9.735667778,228.829788,22.58590856,0,58050,239.4933211
-0.236554473,0,36.95171111,0.7,0,17.22212889
5.9034454,0,24.88124789,0.4,0,33.96224656
