"Fly","Distance","Acceleration","A_insect","Max_speed","Flight_time","Longest_flight","N_flights","Last_flight_end","F_counts","R_counts","dom_dir","Residual_mov","Behav_rep","Behav_add","DCh_dir_skip","DCh_time_shift","DCh_rec_miss","DCh_rec_add","DCh_unfixed","peaks1N","peaks1T","peaks2N","peaks2T","Percent_flying","Mean_speed","Total_dist","FR_ratio","Origin","Source","Morph","Ecl_date","SexWeightSize","Temp_start","Temp_end","Exp_start"
"0705mill1",1859.10827784,0.00218215962903314,0.354406777885396,3.26392911009339,1938.940121903,723.807265542,51,14227.232011388,55872,4,"F","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -1.005328
7.0      0.632105
28.0     0.632564
38.0     0.541516
57.0     0.564965
83.0     0.246100
117.0    0.430104
130.0    0.683254
146.0    0.555319
151.0    0.484711
160.0    0.539587
170.0    0.361555
179.0    0.585006
207.0    0.522612
217.0    0.508971
230.0    0.451980
250.0    0.593489
261.0    0.597840
280.0    0.425324
286.0    0.518171
306.0    0.526797
316.0    0.535410
325.0    0.581772
331.0    0.635371
336.0    0.551625
363.0    0.582340
379.0    0.813459
397.0    0.627517
403.0    0.551951
413.0    0.560373
418.0    0.509519
424.0    0.605999
457.0    0.556971
461.0    0.432612
466.0    0.563396
475.0    0.692174
480.0    0.667851
485.0    0.574351
505.0    0.449231
514.0    0.651907
518.0    0.274939
526.0    0.547328
537.0    0.502395
545.0    0.607819
551.0    0.673069
558.0    0.596160
564.0    0.507816
577.0    0.429770
583.0    0.610861
588.0    0.605441
593.0    0.648721
Name: Residual_mov, dtype: float64>",1.67676801326306,0.00606693876648956,0,9,2,0,4,9,16,573,994,13.4648619576597,0.958827070954284,55868,13968,"22 Summer","W","S",705,"fma",20.8,20.7,1238
"0706mill1",143.17416892,0.00915737012805055,0.0721443066588393,0.628449027696112,408.390190093005,32.646045286,30,13866.656660507,19,5120,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -0.020629
12.0     0.408824
47.0     0.482979
80.0     0.530958
90.0     0.457646
102.0    0.442453
119.0    0.461457
131.0    0.417238
148.0    0.357477
160.0    0.433431
168.0    0.379712
195.0    0.362315
206.0    0.493445
222.0    0.377321
237.0    0.370399
263.0    0.328129
277.0    0.302277
290.0    0.491208
303.0    0.390923
315.0    0.323016
337.0    0.395515
353.0    0.423859
380.0    0.382199
392.0    0.313628
404.0    0.446502
412.0    0.368605
421.0    0.458079
429.0    0.394367
452.0    0.388568
470.0    0.365403
Name: Residual_mov, dtype: float64>",0.983450307238709,-0.000686640560193102,0,0,0,0,6,0,0,34,0,2.83604298675698,0.350581802387061,5101,269.473684210526,"22 Summer","W","S",705,"fma",20.8,20.7,1229
"0706mill2",81.21803016,0.000431273142007344,0.09501354269259,0.956528190449276,175.603000625,79.782344411,8,13868.148279284,4447,216,"F","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -0.129695
104.0    0.537335
129.0    0.532913
349.0    0.544878
420.0    0.572204
569.0    0.630982
588.0    0.567030
612.0    0.662248
Name: Residual_mov, dtype: float64>",1.08447150938708,0.000916399960065857,0,0,0,0,21,0,0,11,0,1.21946528211806,0.462509352749848,4231,20.587962962963,"22 Summer","W","S",705,"fma",20.8,20.7,1232
"0706mill3",199.8642126,0.00549261985596879,0.176069394979638,1.46123208255323,303.880358545003,62.015010671,17,14396.116334394,1412,9170,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0      -0.145174
45.0      0.727411
248.0     0.663416
930.0     0.769424
1138.0    0.668700
1256.0    0.737995
1350.0    0.577826
1658.0    0.779710
1708.0    0.561775
1724.0    0.605004
1772.0    0.723443
1816.0    0.764776
1865.0    0.916164
1912.0    0.623247
1955.0    0.785251
1994.0    0.600479
2020.0    0.718925
Name: Residual_mov, dtype: float64>",1.82662638587217,0.00925678448187698,0,0,0,0,8,0,0,146,75,2.11028026767363,0.657706913197554,7758,6.4943342776204,"22 Summer","W","S",705,"ffa",20.8,20.7,1234
"0708mill1",303.13622484,0.0061275066713533,0.283398372793498,1.76708872371186,349.864404951,63.519519386,26,14208.058676184,12476,0,"F","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -0.450017
44.0     0.512188
49.0     0.516894
53.0     0.586744
76.0     0.637454
81.0     0.626081
89.0     0.562899
96.0     0.505618
103.0    0.549721
112.0    0.558174
123.0    0.701638
132.0    0.547260
138.0    0.475443
143.0    0.573209
151.0    0.714612
156.0    0.564676
169.0    0.478437
194.0    0.582221
198.0    0.466072
204.0    0.546420
209.0    0.637817
216.0    0.284016
221.0    0.482774
225.0    0.477629
235.0    0.613320
241.0    0.475052
Name: Residual_mov, dtype: float64>",1.34125661267056,0.00290956522278227,0,1,0,0,0,0,0,127,162,2.42961392327083,0.866439170576542,12476,Inf,"22 Summer","W","S",707,"ffa",20.8,20.7,1206
"0714mill1",66.6214042,0.00338002470610148,0.0600955123076092,0.544933200244723,207.893579221002,42.75421223,9,9326.463275665,5490,1,"F","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0      0.169624
11.0     0.430843
21.0     0.387383
321.0    0.071622
324.0    0.186652
329.0    0.236399
370.0    0.549447
376.0    0.364916
394.0    0.518868
Name: Residual_mov, dtype: float64>",1.56040554021829,0.00684522467303865,0,0,0,0,1,0,0,33,0,1.44370541125696,0.32045917170524,5489,5490,"22 Summer","W","S",714,"fma",20.8,20.7,1225
"0714mill3",95.92068488,0.00544788353753037,0.0981018186477168,0.787071968462998,206.057479111,36.941223314,11,12736.180214378,264,3229,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0      0.177810
45.0     0.842187
51.0     0.704894
91.0     0.780724
155.0    0.663481
165.0    0.733850
190.0    0.741083
200.0    0.496699
203.0    0.233572
239.0    0.709663
309.0    0.672673
Name: Residual_mov, dtype: float64>",2.25373168851058,0.0200991902443052,0,0,0,0,4,0,0,32,34,1.43095471604861,0.465504505314894,2965,12.2310606060606,"22 Summer","W","S",714,"fma",20.8,20.7,1230
"0715mill1",369.61625736,-0.000302409482736888,0.308472351990422,1.89427078848325,393.861650086008,218.392784989992,8,14025.420087618,1,10668,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0    -0.244011
16.0    0.477010
24.0    0.391206
38.0    0.526072
45.0    0.505575
58.0    0.490733
76.0    0.605832
82.0    0.415656
Name: Residual_mov, dtype: float64>",2.64426446240468,0.0100265918361103,1,0,0,0,1,1,2,18,18,2.7351503478195,0.938441854593576,10667,10668,"22 Summer","W","S",715,"fma",20.8,20.7,1251
"0715mill3",554.3537002,-0.00179150651252534,0.518435143783141,1.84639008693763,428.337820735993,428.337820735993,1,428.465014246001,1072,18421,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0   -0.037731
Name: Residual_mov, dtype: float64>",1.52325522470385,0.00545497113890185,4,0,0,0,5,38,76,388,649,2.97456819955551,1.29419741466556,17349,17.1837686567164,"22 Summer","W","S",715,"ftl",20.8,20.7,1255
"0726mill1",385.30851384,0.000911787548693312,0.28457590254513,1.71450376887293,427.963823944002,290.152840194,11,13423.702078718,75,11162,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     -0.323633
12.0     0.589002
21.0     0.373233
30.0     0.396791
41.0     0.446846
131.0    0.584622
155.0    0.609756
223.0    0.613554
243.0    0.584683
255.0    0.539343
273.0    0.440053
Name: Residual_mov, dtype: float64>",2.55914515035627,0.00647691762283331,5,0,0,0,25,1,2,12,12,2.97197099961112,0.900329636017124,11087,148.826666666667,"22 Summer","W","S",726,"mma",20.8,20.7,1248
"0726mill2",457.1606702,-0.00081501619359652,0.322336556472013,1.68179518849676,460.98768125,294.262047679,4,14048.269240341,33,13026,"R","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0    -0.414487
28.0    0.665747
51.0    0.685807
79.0    0.625813
Name: Residual_mov, dtype: float64>",1.16598106882349,0.00135061169078695,2,0,0,0,3,328,656,30,58,3.20130334201389,0.991698235754103,12993,394.727272727273,"22 Summer","W","S",726,"fma",20.8,20.7,1251
"0726mill3",44.3553646,0.00626935235580188,0.21345538887525,1.46461688553144,59.6482265659998,37.790739337,3,384.236942872,3876,796,"F","<bound method NDFrame._add_numeric_operations.<locals>.sum of flight
2.0     0.138022
28.0    0.578736
57.0    0.604392
Name: Residual_mov, dtype: float64>",1.75537367947469,0.00941599475982474,0,2,0,0,23,2,4,66,38,0.414223795597221,0.743615814812558,3080,4.86934673366834,"22 Summer","W","S",726,"mma",20.8,20.7,1256
