"Fly","Index","Events","dom_dir","Origin","Source","Morph","Ecl_date","SexWeightSize","Temp_start","Temp_end","Exp_start"
"0705mill1",0,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",1,44,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",2,41,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",3,39,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",4,41,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",5,47,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",6,37,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",7,29,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",8,29,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",9,35,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",10,28,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",11,29,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",12,24,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",13,18,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",14,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",15,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",16,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",17,24,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",18,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",19,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",20,8,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",21,20,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",22,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",23,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",24,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",25,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",26,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",27,20,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",28,19,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",29,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",30,12,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",31,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",32,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",33,16,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",34,25,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
"0705mill1",35,NA,"F","22 Summer","W","S",705,"fma",20.8,20.7,1238
