metdat-2022-01-26 Sat Nov  4 21:06:05 2023
ih jhr ht winsp windir tempC
6 6 9.9 1.50 38.0 23.6
6 6 24.7 2.25 35.1 24.0
6 6 49.4 3.20 30.6 24.5
6 6 74.2 4.10 25.6 24.8
6 6 98.9 4.90 20.0 25.1
6 6 148.3 5.90 9.0 25.1
6 6 197.7 6.51 1.1 24.9
6 6 247.2 7.00 354.1 24.5
6 6 296.6 7.20 349.0 24.2
6 6 346.0 6.90 345.6 24.0
6 6 395.5 6.24 345.1 24.0
6 6 444.9 5.65 348.0 23.6
6 6 494.3 5.20 352.0 23.3
6 6 543.8 4.90 356.0 23.2
6 6 593.2 4.80 1.0 23.0
6 6 642.6 4.80 5.1 22.6
6 6 692.1 4.86 9.0 22.4
6 6 790.9 5.25 13.1 21.4
6 6 889.8 5.80 16.0 20.7
6 6 988.7 6.20 18.0 19.9
6 6 1087.5 6.54 19.0 19.4
6 6 1186.4 6.80 20.0 18.4
6 6 1285.3 7.10 21.0 17.6
6 6 1384.1 7.40 23.0 16.7
6 6 1483.0 7.60 25.0 15.7
6 6 1730.2 8.11 28.9 14.1
6 6 1977.3 8.30 33.0 12.1
6 6 2224.5 7.70 40.0 10.8
6 6 2471.7 6.90 40.0 9.1
6 6 2718.8 6.70 26.0 7.6
7 7 9.9 1.40 41.0 23.3
7 7 24.7 2.20 38.0 23.6
7 7 49.4 3.19 33.0 24.0
7 7 74.2 4.00 28.0 24.3
7 7 98.9 4.80 22.6 24.5
7 7 148.3 5.70 12.5 24.6
7 7 197.7 6.35 5.0 24.4
7 7 247.2 6.75 358.0 24.1
7 7 296.6 6.90 352.0 23.8
7 7 346.0 6.45 347.0 23.8
7 7 395.5 5.60 348.0 23.8
7 7 444.9 5.00 352.0 23.4
7 7 494.3 4.60 357.0 23.1
7 7 543.8 4.40 3.1 22.9
7 7 593.2 4.30 8.0 22.8
7 7 642.6 4.31 12.0 22.4
7 7 692.1 4.50 15.0 22.2
7 7 790.9 5.00 18.0 21.3
7 7 889.8 5.70 19.0 20.6
7 7 988.7 6.30 19.0 19.8
7 7 1087.5 6.70 19.0 19.3
7 7 1186.4 7.10 19.0 18.3
7 7 1285.3 7.41 21.0 17.5
7 7 1384.1 7.71 23.0 16.5
7 7 1483.0 8.00 25.5 15.6
7 7 1730.2 8.30 27.0 14.1
7 7 1977.3 8.30 28.0 12.2
7 7 2224.5 8.00 33.0 10.6
7 7 2471.7 7.20 37.0 9.0
7 7 2718.8 6.55 23.9 7.6
8 8 9.9 1.99 40.1 24.2
8 8 24.7 2.50 39.0 24.1
8 8 49.4 3.20 36.0 24.0
8 8 74.2 3.91 33.0 24.0
8 8 98.9 4.70 28.1 24.1
8 8 148.3 5.90 19.0 24.1
8 8 197.7 6.60 11.0 24.1
8 8 247.2 6.90 5.0 23.8
8 8 296.6 6.90 358.0 23.7
8 8 346.0 6.20 353.0 23.7
8 8 395.5 5.30 355.0 23.7
8 8 444.9 4.75 2.1 23.3
8 8 494.3 4.50 9.0 23.0
8 8 543.8 4.40 14.6 22.7
8 8 593.2 4.40 19.0 22.5
8 8 642.6 4.50 23.0 22.2
8 8 692.1 4.70 25.0 21.9
8 8 790.9 5.20 27.0 21.1
8 8 889.8 5.80 26.0 20.5
8 8 988.7 6.30 25.0 19.7
8 8 1087.5 6.70 24.0 19.1
8 8 1186.4 7.10 23.0 18.2
8 8 1285.3 7.51 23.0 17.3
8 8 1384.1 8.00 24.0 16.4
8 8 1483.0 8.30 24.0 15.5
8 8 1730.2 8.30 24.0 14.2
8 8 1977.3 8.00 24.0 12.3
8 8 2224.5 7.70 27.0 10.6
8 8 2471.7 7.30 30.5 9.0
8 8 2718.8 6.90 18.0 7.7
9 9 9.9 2.95 33.5 25.5
9 9 24.7 3.30 33.0 25.3
9 9 49.4 3.70 32.0 24.9
9 9 74.2 4.00 31.0 24.7
9 9 98.9 4.25 29.0 24.5
9 9 148.3 4.81 25.1 24.1
9 9 197.7 5.61 19.0 23.8
9 9 247.2 6.21 12.0 23.6
9 9 296.6 6.41 5.0 23.6
9 9 346.0 5.80 3.0 23.9
9 9 395.5 5.00 9.0 23.7
9 9 444.9 4.90 16.0 23.2
9 9 494.3 4.90 21.1 23.0
9 9 543.8 5.00 25.1 22.7
9 9 593.2 5.10 28.6 22.4
9 9 642.6 5.30 31.0 22.1
9 9 692.1 5.60 32.0 21.8
9 9 790.9 6.15 32.0 21.0
9 9 889.8 6.70 31.0 20.4
9 9 988.7 7.10 29.0 19.6
9 9 1087.5 7.40 28.0 19.0
9 9 1186.4 7.70 26.5 18.1
9 9 1285.3 7.90 26.0 17.3
9 9 1384.1 8.00 25.0 16.3
9 9 1483.0 7.96 25.0 15.4
9 9 1730.2 7.71 23.9 14.3
9 9 1977.3 7.46 22.0 12.5
9 9 2224.5 7.20 22.0 10.7
9 9 2471.7 6.90 20.9 9.1
9 9 2718.8 6.50 8.9 7.9
10 10 9.9 3.39 31.5 26.9
10 10 24.7 3.69 31.0 26.6
10 10 49.4 3.99 31.0 26.2
10 10 74.2 4.20 30.4 25.8
10 10 98.9 4.30 30.0 25.5
10 10 148.3 4.50 29.0 25.0
10 10 197.7 4.70 28.0 24.6
10 10 247.2 4.80 26.1 24.1
10 10 296.6 4.90 25.0 23.7
10 10 346.0 5.00 22.0 23.4
10 10 395.5 5.00 22.1 23.3
10 10 444.9 5.20 27.0 23.1
10 10 494.3 5.41 30.0 22.9
10 10 543.8 5.61 33.0 22.7
10 10 593.2 5.90 34.0 22.3
10 10 642.6 6.11 35.0 22.1
10 10 692.1 6.40 35.0 21.8
